№ п/п,Комбинат,Местоположение,Название должности,Требования,Обязанности,Условия работы,Зарплата,Категория позиции,Тип занятости:,График работы,Сфера деятельности,Кому направить резюме (e-mail),,1/10/2020
1,"СВЕЗА Тюмень
(Усть-Ишимский филиал )",Мантурово,Машинист крана ,"• Среднее-профессиональное образование;
• Опыт работы не менее 1 года;
• Квалификационное свидетельство машиниста консольно-козлового крана.","• Управление консольно-козловыми кранами;
• Осмотр и обслуживание грузоподъемного крана;
• Подача фанерного сырья в производство;
• Выгрузка фанерного сырья и дров из ж/д вагонов и платформ и автомашин;
• Подбор выпавших одиночных бревен, вагонных стоек, ж/д прокладок, проволоки;
• Подбор и укладка в тележку или в штабель одиночных бревен;
• Подача круглых л/м из штабелей кранам;
• Подбор упавших круглых л/м в зоне работы крана, складирование сырья;
• Подача сырья краном из вагонов или а/машин на сортировочную площадку;
• Очистка варочных бассейнов с помощью грязевого грейфера;
• Разбор круглого леса из штабелей с формированием пачки;
• Складирование увязанных пучков сырья в запас;
• Участие в ремонте крана.
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Место работы: Омская обл., Усть-Ишимский р-н, с. Усть-Ишим, ул. Комсомольская, д.69а",-,Рабочие,Полная занятость,Сменный график,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
2,"СВЕЗА Тюмень
(Усть-Ишимский филиал )",Усть-Ишим,Слесарь-электрик  ,"• Среднее профессиональное образование;
• Опыт работы по специальности не менее  2- х  лет;
• Группа по электробезопасности IV.","• Обеспечение исправного состояния, безаварийную и  надёжную работу обслуживаемых устройств и оборудования, правильную их эксплуатацию, своевременный и качественный ремонт  оборудования;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности;
• Оказание помощи в монтаже, ремонте и наладке  устройств и систем автоматического управления и регулирования технологических процессов.                                                                    ","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Место работы: Омская обл., Усть-Ишимский р-н, с. Усть-Ишим, ул. Комсомольская, д.69а",-,Рабочие,Полная занятость,Сменный график,Техническое развитие ,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
3,"СВЕЗА Тюмень
(Усть-Ишимский филиал )",Усть-Ишим,Слесарь-ремонтник,"• Начальное профессиональное образование;
• Знание слесарного дела;
• Опыт работы от 1 года.","• Ремонт, обслуживание и содержание в исправном состоянии технологического оборудования;
• Испытание, регулирование, наладка оборудования;
• Выявление и устранение неполадок и дефектов во время эксплуатации оборудования;
• Соблюдение правил промышленной безопасности, охраны труда и противопожарной безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Место работы: Омская обл., Усть-Ишимский р-н, с. Усть-Ишим, ул. Комсомольская, д.69а",-,Рабочие,Полная занятость,Сменный график,Техническое развитие ,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
4,"СВЕЗА Тюмень
(Усть-Ишимский филиал )",Усть-Ишим,Инженер-электроник,"• Среднее (специальное/техническое) образование;
• Опыт работы связанный с обслуживанием электронной техники от 2-х лет.","• Поддержка в исправном состоянии обслуживаемых устройств и оборудования, правильная их эксплуатация, своевременный качественный ремонт;
• Диагностика и ремонт производственного оборудования, электронно-механических проблем и неисправностей на оборудовании;
• Наладка элементов и блоков электронно-вычислительных машин, радиоэлектронной аппаратуры;
• Учет и анализ показателей использования электронного оборудования.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Место работы: Омская обл., Усть-Ишимский р-н, с. Усть-Ишим, ул. Комсомольская, д.69а",-,РСС,Полная занятость,Полный день,Техническое развитие ,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
5,"СВЕЗА Тюмень
(Усть-Ишимский филиал )",Усть-Ишим,Машинист котельной,"• Среднее-профессиональное образование;
• Опыт работы не менее 1 года;
• Навыки работы с котельным оборудованием на твердом топливе.","• Осуществление процесса сжигания жидкого и газообразного топлива в топках печей (в том числе загрузку топлива вручную)
• регулирование процесса  дутья, тяги и температурного режима на обслуживаемом оборудовании с помощью пульта
•  подготовка оборудование и топливо к работе: чистит топки от шлака и золы,  форсунки, проверяет исправность кладки колосников топки, состояние и работу шиберов, исправность искроуловительных устройств, состояние форсунок, вентиляторов, пусковой, регулирующей и контрольно-измерительной аппаратуры и пр.
• выбирает на приборах режимы работы топок.
• наблюдает визуально за работой топок, газовой коммуникации, воздуходувок и т. п.
 текущий ремонт обслуживаемого оборудования.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Место работы: Омская обл., Усть-Ишимский р-н, с. Усть-Ишим, ул. Комсомольская, д.69а",-,Рабочие,Полная занятость,Сменный график,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
6,СВЕЗА Уральский,Уральский,Токарь-расточник,"• Среднее профессиональное образование;
• Опыт работы связанный с токарной обработкой деталей от 1-го года;
• Умение проводить токарные работы, управлять токарно-центровыми станками.

","• Токарная обработка и доводка деталей, узлов и инструментов на токарных станках;
• Обтачивание наружных и внутренних фасонных поверхностей и поверхностей, сопряженных с криволинейными цилиндрическими поверхностями, с труднодоступными для обработки и измерений местами;
• Нарезание и накатка многозаходных резьб различного профиля и шага;
• Токарная обработка новых и переточка выработанных прокатных валов с калибровкой сложного профиля.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка (п. Новоильинский, г. Нытва);
• Место работы: пос. Уральский, ул. Московская, д. 1 А",28 000,Рабочие,Полная занятость,Полный день,Техническое развитие ,ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
7,СВЕЗА Уральский,Уральский,Фрезеровщик,"• Среднее профессиональное образование;
• Опыт работы связанный с фрезерованием деталей от 1-го года.","• Фрезерование деталей и инструмента на горизонтальных и вертикальных фрезерных станках с применением нормального режущего инструмента и универсальных приспособлений, а также методом совмещенной плазменно-механической обработки;
• Обработка несложных крупных деталей  на многошпиндельных продольно-фрезерных станках с одновременной обработкой двух или трех поверхностей и предварительная обработка более сложных деталей;
• Наладка станков, плазменной установки, плазмотрона на совмещенную обработку;
• Выполнение расчетов для фрезерования зубьев шестерен.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка (п. Новоильинский, г. Нытва);
• Место работы: пос. Уральский, ул. Московская, д. 1 А",30 000,Рабочие,Полная занятость,Полный день,Техническое развитие ,ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
8,СВЕЗА Уральский,Уральский,Слесарь-ремонтник,"• Среднее профессиональное образование;
• Знание слесарного дела;
• Опыт работы от года.","• Ремонт, обслуживание и содержание в исправном состоянии технологического оборудования;
• Испытание, регулирование, наладка оборудования;
• Выявление и устранение неполадок и дефектов во время эксплуатации оборудования;
• Соблюдение правил промышленной безопасности, охраны труда и противопожарной безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка (п. Новоильинский, г. Нытва);
• Место работы: пос. Уральский, ул. Московская, д. 1 А",25 400,Рабочие,Полная занятость,Полный день,Техническое развитие ,ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
9,СВЕЗА Уральский,Уральский,Стажер службы по организационному развитию и персоналу,"• Студент 3-5 курса, бакалавр, магистр любого ВУЗа и факультета;
• Доброжелательность, высокая клиентоориентированность,  открытость, внимательность, обучаемость;
• Владение ПК – MS Office.
","• Участие проекте по совершенствованию системы наставничества и адаптации;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Рекомендательное письмо по итогам стажировки;
• Трудоустройство в соответствии с ТК РФ на период стажировки (июнь-август);
• Компенсационный пакет: спецодежда, ДМС;
• На период стажировки проживание в п. Уральский Нытвенского р-на, иногородним предоставляется жилье;                                                                                                      • Служебная развозка до комбината из п. Новоильинский, г. Нытва. ",15000 руб. ,РСС,Полная занятость,Полный день,"Начальный уровень, Мало опыта ",ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
10,СВЕЗА Уральский,Уральский,Стажер службы по технологии и качеству ,"• Студент 3-5 курса, бакалавр, магистр любого ВУЗа и факультета;
• Доброжелательность, высокая клиентоориентированность,  открытость, внимательность, обучаемость;
• Владение ПК – MS Office.","• Участие проекте по изучению и разработке стандартных операционных процедур на всех типах оборудования производства обработки фанеры;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Рекомендательное письмо по итогам стажировки;
• Трудоустройство в соответствии с ТК РФ на период стажировки (июнь-август);
• Компенсационный пакет: спецодежда, ДМС;
• На период стажировки проживание в п. Уральский Нытвенского р-на, иногородним предоставляется жилье;                                                                                                      • Служебная развозка до комбината из п. Новоильинский, г. Нытва. ",15000 руб. ,РСС,Полная занятость,Полный день,"Начальный уровень, Мало опыта ",ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
11,СВЕЗА Уральский,Уральский,Стажер технической службы,"• Студент 3-5 курса, бакалавр, магистр любого ВУЗа и факультета;
• Доброжелательность, высокая клиентоориентированность,  открытость, внимательность, обучаемость;
• Владение ПК – MS Office.","• Участие проектах по стандартизации технической документации и внедрении диагностики неразрушающего контроля                                                          • Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Рекомендательное письмо по итогам стажировки;
• Трудоустройство в соответствии с ТК РФ на период стажировки (июнь-август);
• Компенсационный пакет: спецодежда, ДМС;
• На период стажировки проживание в п. Уральский Нытвенского р-на, иногородним предоставляется жилье;                                                                                                      • Служебная развозка до комбината из п. Новоильинский, г. Нытва. ",15000 руб. ,РСС,Полная занятость,Полный день,"Начальный уровень, Мало опыта ",ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
12,СВЕЗА Уральский,Уральский,"Стажер службы по охране труда, промышленной безопасности и экологии","• Студент 3-5 курса, бакалавр, магистр любого ВУЗа и факультета;
• Доброжелательность, высокая клиентоориентированность,  открытость, внимательность, обучаемость;
• Владение ПК – MS Office.
","• Участие проекте по вывозу и утилизации отходов;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Рекомендательное письмо по итогам стажировки;
• Трудоустройство в соответствии с ТК РФ на период стажировки (июнь-август);
• Компенсационный пакет: спецодежда, ДМС;
• На период стажировки проживание в п. Уральский Нытвенского р-на, иногородним предоставляется жилье;                                                                                                      • Служебная развозка до комбината из п. Новоильинский, г. Нытва. ",15000 руб. ,РСС,Полная занятость,Полный день,"Начальный уровень, Мало опыта ",ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
13,СВЕЗА Уральский,Уральский,Стажер производства шпона и фанеры (летние стажировки) - студент,"• Студент 3-5 курса, бакалавр, магистр любого ВУЗа и факультета;
• Доброжелательность, высокая клиентоориентированность,  открытость, внимательность, обучаемость;
• Владение ПК – MS Office.
","• Участие в проектах:
 - по определению критичных технологических параметров в производстве обработки фанеры;
- по разработке стандартных операционных процедур на всех типах оборудования производства обработки фанеры;
- по разработке документов и внедрении TPM (Total Productive Maintenance) в условиях действующего производства.
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Рекомендательное письмо по итогам стажировки;
• Трудоустройство в соответствии с ТК РФ на период стажировки (июнь-август);
• Компенсационный пакет: спецодежда, ДМС;
• На период стажировки проживание в п. Уральский Нытвенского р-на, иногородним предоставляется жилье;                                                                                                      • Служебная развозка до комбината из п. Новоильинский, г. Нытва. ",15000 руб. ,РСС,Полная занятость,Полный день,"Начальный уровень, Мало опыта ",ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
14,СВЕЗА Уральский,Уральский,Инженер-электроник,"• Среднее специальное техническое образование;
• Опыт работы связанный с обслуживанием электронной техники от 2-х лет.","• Поддержка в исправном состоянии обслуживаемых устройств и оборудования, правильная их эксплуатация, своевременный качественный ремонт;
• Диагностика и ремонт производственного оборудования, электронно-механических проблем и неисправностей на оборудовании;
• Наладка элементов и блоков электронно-вычислительных машин, радиоэлектронной аппаратуры;
• Учет и анализ показателей использования электронного оборудования.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка (п. Новоильинский, г. Нытва);
• Место работы: пос. Уральский, ул. Московская, д. 1 А",39600 руб.,РСС,Полная занятость,Полный день,Техническое развитие ,ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
15,СВЕЗА Тюмень,Тюмень,Сборщик,"• Среднее образование;
• Знания технологии производства фанеры, видов и причин технического брака на выпускаемую продукцию, меры его устранения;
• Опыт работы на любых автоматических линиях, современных станках.


","• Набор клеевого пакета;
• Выгрузка набранных пакетов в пресс;
• Контроль качества входящего/выходящего продукта;
• Выполнение плана с соответствующим выходным качеством продукции;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",от 27 000,Рабочие,Полная занятость,Сменный график,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],
16,СВЕЗА Тюмень,Тюмень,Сортировщик шпона и фанеры ,"• Среднее образование;
• Опыт работы на автоматических линиях, современных станках.","• Осуществление процесса сортировки шпона по качественным признакам, порокам древесины и дефектам обработки;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",от 27 000,Рабочие,Полная занятость,Сменный график,Производство,lp.smutok@sveza.com,• lp.smutok@sveza.com  [color=violet](эл пи точка смуток собака свеза точка ком)[/color],1
